,id1,id2,func,type,train
0,22486941,19654781,13,0,1
0,23677156,23677157,13,4,1
1,6088697,23677155,13,4,1
1,22486941,3596849,7,0,1
2,22486941,3596828,13,0,1
3,22486941,11205237,7,0,1
4,22486941,20328638,13,0,1
4,531920,23677226,44,4,1
5,22486941,7079645,7,0,1
6,22486941,23677156,13,0,1
7,22486941,19076717,7,0,1
8,8972522,23677226,44,4,1
8,22486941,19654780,13,0,1
9,22486941,19119522,7,0,1
10,22486941,1313371,13,0,1
11,22486941,17621071,7,0,1
12,22060129,23677226,44,4,1
12,22486941,13088707,13,0,1
13,22486941,5226973,7,0,1
14,103828,23677226,44,4,1
14,22486941,9883524,13,0,1
15,22486941,13088706,7,0,1
16,22486941,4490317,13,0,1
17,8359775,23677133,7,4,1
17,966813,23677155,13,4,1
17,22486941,17467511,7,0,1
18,22486941,20328640,13,0,1
19,13088706,23677155,13,4,1
19,22486941,7670209,7,0,1
20,22486941,17510245,13,0,1
21,22486941,7848932,7,0,1
22,22486941,17621072,13,0,1
22,16152856,23677226,44,4,1
23,22486941,3894025,7,0,1
24,22486941,1721214,13,0,1
25,22486941,13160464,7,0,1
26,22486941,8586224,13,0,1
27,22486941,22181822,7,0,1
28,22486941,2315719,13,0,1
29,22486941,3596847,7,0,1
30,22486941,7200130,13,0,1
31,20740028,23677155,13,4,1
31,20680657,23677133,7,4,1
31,22486941,5936119,7,0,1
32,22486941,17621070,13,0,1
33,22486941,6938966,7,0,1
34,22486941,13140215,13,0,1
34,5226973,23677155,13,4,1
35,22486941,5172908,7,0,1
36,22486941,17621068,13,0,1
37,22486941,16380022,7,0,1
38,22648484,23677155,13,4,1
38,22486941,17621073,13,0,1
39,22486941,23677157,7,0,1
40,22486941,10496866,13,0,1
41,22486941,20740028,7,0,1
42,22486941,3596848,13,0,1
43,22486941,2451218,7,0,1
44,22486941,19654783,13,0,1
45,22486941,7839341,7,0,1
45,7839341,23677155,13,4,1
46,22486941,17621069,13,0,1
47,22486941,9210368,7,0,1
48,9883524,23677155,13,4,1
48,4758170,23677226,44,4,1
48,22486941,10868405,13,0,1
49,22486941,7436917,7,0,1
50,22486941,22961758,13,0,1
51,22486941,10258420,7,0,1
52,22486941,15064,13,0,1
53,22486941,2423912,7,0,1
54,22486941,23677155,13,0,1
55,22486941,19654782,7,0,1
56,4328782,23677226,44,4,1
56,22486941,22648484,13,0,1
56,7200130,23677155,13,4,1
57,22486941,966813,7,0,1
58,22486941,8533735,13,0,1
58,950313,23677226,44,4,1
59,22486941,6088697,7,0,1
60,22486941,20328639,13,0,1
61,22486941,7357528,7,0,1
61,10868405,23677155,13,4,1
62,3596849,23677155,13,4,1
62,22486941,7839340,13,0,1
63,22486941,13912756,7,0,1
64,22486941,6138230,13,0,1
65,22486941,14009710,7,0,1
66,19972831,19654781,13,0,1
67,19972831,3596849,7,0,1
68,7848932,23677155,13,4,1
68,19972831,3596828,13,0,1
69,19972831,11205237,7,0,1
70,19972831,20328638,13,0,1
71,19119522,23677157,13,4,1
71,19972831,7079645,7,0,1
72,19972831,23677156,13,0,1
